,ASSESSMENT_YEAR,TOTALVALUE,HOMESTEAD,NEIGHBORHOOD,COMMUNITY,ZIPCODE,FORMATTED_ADDRESS,WARD,PROPERTY_TYPE,BUILDINGVALUE
1381,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3024 1/2 SNELLING AVE,9.0,VACANT LAND - COMMERCIAL,0
1384,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3107 HIAWATHA AVE,9.0,VACANT LAND - COMMERCIAL,0
1385,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406-1914,3017 27TH AVE S,2.0,COMMERCIAL,0
1397,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,2421 LAKE ST E,9.0,VACANT LAND - COMMERCIAL,0
1398,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,2501 LAKE ST E,9.0,VACANT LAND - COMMERCIAL,0
1406,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406-1907,3109 HIAWATHA AVE,9.0,VACANT LAND - INDUSTRIAL,0
1410,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3000 MINNEHAHA AVE,9.0,COMMERCIAL,0
1411,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3033 SNELLING AVE,9.0,VACANT LAND - COMMERCIAL,0
1413,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406,3142 HIAWATHA AVE,9.0,VACANT LAND - COMMERCIAL,0
1414,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406,2416 32ND ST E,9.0,VACANT LAND - COMMERCIAL,0
1422,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3257 HIAWATHA AVE,9.0,VACANT LAND - COMMERCIAL,0
1438,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55406-2405,3321 25TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
1464,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,2601 33RD ST E,9.0,VACANT LAND - COMMERCIAL,0
1602,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406-2409,3200 29TH AVE S,2.0,DOUBLE BUNGALOW,0
1836,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2436,3532 20TH AVE S,9.0,RESIDENTIAL,0
1852,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2914,2014 36TH ST E,9.0,COMMERCIAL,0
1859,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2336,3449 CEDAR AVE,9.0,COMMERCIAL,0
1865,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407-2901,3611 20TH AVE S,12.0,COMMERCIAL,0
1871,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407,3667 19TH AVE S,12.0,VACANT LAND - COMMERCIAL,0
1872,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407,3625 1/2 19TH AVE S,12.0,VACANT LAND - COMMERCIAL,0
1873,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407,1911 1/2 36TH ST E,12.0,VACANT LAND - COMMERCIAL,0
1888,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407,1913 36TH ST E,12.0,VACANT LAND - COMMERCIAL,0
1889,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407,1901 1/2 36TH ST E,12.0,VACANT LAND - COMMERCIAL,0
1961,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55407-2926,3740 19TH AVE S,12.0,APARTMENT,0
2007,2020,0,NON-HOMESTEADED,DOWNTOWN EAST,CENTRAL,55401-2528,1 PORTLAND AVE,3.0,INDUSTRIAL,0
2025,2020,0,NON-HOMESTEADED,CEDAR RSIDE/WEST BANK,UNIVERSITY,55454,2315 RIVERSIDE AVE,2.0,VACANT LAND - COMMERCIAL,0
2073,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-1918,3009 19TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
2076,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-1929,2015 LAKE ST E,9.0,COMMERCIAL,0
2111,2020,0,NON-HOMESTEADED,CORCORAN,POWDERHORN,55407-2402,3220 19TH AVE S,9.0,RESIDENTIAL,0
2254,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,3435 FILLMORE ST,1.0,COMMERCIAL,0
2255,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-2259,3258 JOHNSON ST NE,1.0,COMMERCIAL,0
2257,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-2259,3246 JOHNSON ST NE,1.0,RESIDENTIAL,0
2277,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1456,1510 33RD AVE NE,1.0,COMMERCIAL,0
2463,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1400,3301 ULYSSES ST,1.0,COMMERCIAL,0
2464,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1423,1800 34TH AVE NE,1.0,COMMERCIAL,0
2465,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2185 BENJAMIN ST,1.0,VACANT LAND - COMMERCIAL,0
2469,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1531,3360 CLEVELAND ST,1.0,VACANT LAND - RESIDENTIAL,0
2474,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1532,3401 1/2 CLEVELAND ST,1.0,VACANT LAND - RESIDENTIAL,0
2532,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1703,3101 14TH AVE S,9.0,COMMERCIAL,0
2543,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1703,3137 14TH AVE S,9.0,RESIDENTIAL,0
2557,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1624,3015 13TH AVE S,9.0,COMMERCIAL,0
2597,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1625,3010 13TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
2702,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407,3316 1/2 15TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
2733,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407,3237 15TH AVE S,9.0,COMMON AREA (NO VALUE),0
2883,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55406-2516,3616 28TH AVE S,12.0,RESIDENTIAL,0
3019,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55406-3022,2600 38TH ST E,12.0,COMMERCIAL,0
3020,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55406-2545,3733 26TH AVE S,12.0,COMMERCIAL,0
3076,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406,3001 36TH ST E,12.0,VACANT LAND - COMMERCIAL,0
3124,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55406,2922 38TH ST E,12.0,VACANT LAND - COMMERCIAL,0
3133,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55406,3752 HIAWATHA AVE,12.0,VACANT LAND - COMMERCIAL,0
3137,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406-2634,3600 SNELLING AVE,12.0,COMMERCIAL,0
3138,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406-2634,3604 SNELLING AVE,12.0,VACANT LAND - COMMERCIAL,0
3140,2020,0,NON-HOMESTEADED,HOWE,LONGFELLOW,55406,3001 37TH ST E,12.0,VACANT LAND - COMMERCIAL,0
3148,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55406,2830 37TH ST E,12.0,APARTMENT,0
3149,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55406,3625 28TH AVE S,12.0,RESIDENTIAL,0
3152,2020,0,NON-HOMESTEADED,STANDISH,POWDERHORN,55406-2519,3700 30TH AVE S,12.0,COMMERCIAL,0
3153,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,3660 MCKINLEY ST,1.0,VACANT LAND - COMMERCIAL,0
3154,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2201 1/2 36TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
3155,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2100 36TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
3226,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,3501 1/2 BENJAMIN ST,1.0,VACANT LAND - COMMERCIAL,0
3251,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1513,3634 MCKINLEY ST,1.0,RESIDENTIAL,0
3267,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,3601 BENJAMIN ST,1.0,VACANT LAND - COMMERCIAL,0
3361,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1332,3665 TYLER ST,1.0,COMMERCIAL,0
3468,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1331,3570 TYLER ST,1.0,RESIDENTIAL,0
3599,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1355,3434 TYLER ST,1.0,RESIDENTIAL,0
3694,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406-1929,2825 LAKE ST E,2.0,APARTMENT,0
3699,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406-1927,2727 LAKE ST E,2.0,COMMERCIAL,0
3700,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406-1923,2730 31ST ST E,2.0,COMMERCIAL,0
3706,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,2813 LAKE ST E,2.0,VACANT LAND - COMMERCIAL,0
3713,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406-1934,3152 MINNEHAHA AVE,9.0,COMMERCIAL,0
3714,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,2710 32ND ST E,9.0,VACANT LAND - COMMERCIAL,0
3715,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3149 SNELLING AVE,9.0,VACANT LAND - COMMERCIAL,0
3716,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3037 HIAWATHA AVE,9.0,VACANT LAND - COMMERCIAL,0
3717,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3045 HIAWATHA AVE,9.0,VACANT LAND - COMMERCIAL,0
3718,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3047 HIAWATHA AVE,9.0,VACANT LAND - COMMERCIAL,0
3719,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3051 HIAWATHA AVE,9.0,VACANT LAND - COMMERCIAL,0
3720,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3105 HIAWATHA AVE,9.0,VACANT LAND - INDUSTRIAL,0
3729,2020,0,NON-HOMESTEADED,LONGFELLOW,LONGFELLOW,55406,3100 MINNEHAHA AVE,9.0,VACANT LAND - RESIDENTIAL,0
3800,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409-1202,18 37TH ST W,8.0,RESIDENTIAL,0
3826,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409-1213,3620 BLAISDELL AVE,8.0,RESIDENTIAL,0
3890,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409-1226,3733 PLEASANT AVE,8.0,RESIDENTIAL MISC,0
3930,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409-1237,3740 NICOLLET AVE,8.0,COMMERCIAL,0
3949,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409-1221,3752 PILLSBURY AVE,8.0,VACANT LAND - COMMERCIAL,0
3951,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409-1226,3735 PLEASANT AVE,8.0,COMMERCIAL,0
4009,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4526,3416 4TH AVE S,9.0,COMMERCIAL,0
4010,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3453 3RD AVE S,9.0,VACANT LAND - COMMERCIAL,0
4011,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3449 3RD AVE S,9.0,VACANT LAND - COMMERCIAL,0
4012,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3445 3RD AVE S,9.0,VACANT LAND - COMMERCIAL,0
4013,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3437 3RD AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4014,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3433 3RD AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4015,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3429 3RD AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4016,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3427 3RD AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4017,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3421 3RD AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4018,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3417 3RD AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4019,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3413 3RD AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4020,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3409 3RD AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4021,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3405 3RD AVE S,9.0,VACANT LAND - COMMERCIAL,0
4022,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3401 3RD AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4023,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-3271,311 34TH ST E,9.0,VACANT LAND - COMMERCIAL,0
4103,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2570,628 H 38TH ST E,8.0,VACANT LAND - RESIDENTIAL,0
4105,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407,1009 37TH ST E,9.0,VACANT LAND - COMMERCIAL,0
4127,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2639,3732 ELLIOT AVE,9.0,RESIDENTIAL,0
4165,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2638,3741 ELLIOT AVE,9.0,RESIDENTIAL,0
4196,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2625,3619 11TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4197,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407,3617 11TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
4198,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2625,3615 11TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
4229,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2619,3601 10TH AVE S,9.0,RESIDENTIAL,0
4248,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2636,3605 ELLIOT AVE,9.0,RESIDENTIAL,0
4304,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2610,3715 CHICAGO AVE,9.0,COMMERCIAL,0
4309,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407,3633 CHICAGO AVE,9.0,APARTMENT,0
4378,2020,0,NON-HOMESTEADED,AUDUBON PARK,NORTHEAST,55418-2146,3006 TYLER ST,1.0,RESIDENTIAL,0
4392,2020,0,NON-HOMESTEADED,AUDUBON PARK,NORTHEAST,55418-2122,3055 CENTRAL AVE NE,1.0,COMMERCIAL,0
4430,2020,0,NON-HOMESTEADED,AUDUBON PARK,NORTHEAST,55418-2143,2921 TYLER ST,1.0,DOUBLE BUNGALOW,0
4495,2020,0,NON-HOMESTEADED,AUDUBON PARK,NORTHEAST,55418,3040 1/2 TAYLOR ST,1.0,VACANT LAND - COMMERCIAL,0
4564,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2203,3501 BLOOMINGTON AVE,9.0,APARTMENT,0
4603,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2327,3448 18TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
4604,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2309,3449 17TH AVE S,9.0,COMMERCIAL,0
4605,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2309,3445 17TH AVE S,9.0,RESIDENTIAL,0
4612,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2309,3417 17TH AVE S,9.0,RESIDENTIAL,0
4641,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2311,3501 17TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
4654,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2313,3549 18TH AVE S,9.0,RESIDENTIAL,0
4689,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2224,3437 15TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
4924,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408,3050 STEVENS AVE,8.0,VACANT LAND - COMMERCIAL,0
4926,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-3103,110 31ST ST E,8.0,COMMERCIAL,0
4933,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-3131,3101 NICOLLET AVE,8.0,COMMERCIAL,0
4959,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408,3201 STEVENS AVE,8.0,VACANT LAND - COMMERCIAL,0
4965,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4407,3233 1ST AVE S,8.0,VACANT LAND - APARTMENT,0
4986,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4438,3205 NICOLLET AVE,8.0,VACANT LAND - COMMERCIAL,0
4994,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4410,3328 1ST AVE S,8.0,RESIDENTIAL,0
5038,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408,3300 2ND AVE S,9.0,VACANT LAND - COMMERCIAL,0
5064,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4407,3239 1ST AVE S,8.0,COMMERCIAL,0
5065,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4407,3241 1ST AVE S,8.0,VACANT LAND - COMMERCIAL,0
5071,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-3203,3345 2ND AVE S,9.0,RESIDENTIAL,0
5077,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4404,101 32ND ST E,8.0,NURSING HOME,0
5098,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-3235,3217 4TH AVE S,9.0,RESIDENTIAL,0
5109,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-3263,3221 CLINTON AVE,9.0,RESIDENTIAL,0
5117,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-3262,3208 CLINTON AVE,9.0,RESIDENTIAL,0
5141,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-3234,3248 4TH AVE S,9.0,RESIDENTIAL,0
